iter	Passed	Remaining
933	7567	534
934	7575	526
935	7582	518
936	7591	510
937	7598	502
938	7605	494
939	7612	485
940	7618	477
941	7626	469
942	7633	461
943	7641	453
944	7650	445
945	7656	437
946	7663	428
947	7673	420
948	7680	412
949	7688	404
950	7695	396
951	7700	388
952	7706	380
953	7712	371
954	7718	363
955	7723	355
956	7729	347
957	7735	339
958	7741	330
959	7747	322
960	7752	314
961	7757	3962962	7763	2963963	7768	2964964	7773	2965965	7779	2966966	7784	2967	7804	258
968	7811	249
969	7816	241
970	7823	233
971	7828	225
972	7835	217
973	7841	209
974	7847	201
975	7854	193
976	7859	185
977	7867	176
978	7872	168
979	7877	160
980	7882	152
981	7887	144
982	7891	136
983	7897	128
984	7902	120
985	7909	112
986	7914	1049987	7919	969988	7924	889989	7930	809990	7936	729991	7942	649992	7949	569993	7954	489994	7959	399995	7964	319996	7969	239997	7974	199998	7979	7
999	7984	0
	0
